puntaje,titulo,institucion,cantidad_opiniones
4.552238805970149,Aboriginal Worldviews and Education,University of Toronto,67
4.466666666666667,Access Controls,(ISC)²,45
4.395299145299146,Accounting Analytics,University of Pennsylvania,468
3.5,Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,8
4.845849802371541,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,253
4.5479452054794525,The Addicted Brain,Emory University,438
4.924812030075188,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,133
4.572192513368984,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,187
4.663421418636996,Agile with Atlassian Jira,Atlassian,719
4.845112374763065,AI For Everyone,DeepLearning.AI,7386
4.583657587548638,AI for Medical Diagnosis,DeepLearning.AI,257
4.747126436781609,AI for Medical Prognosis,DeepLearning.AI,87
4.535564853556485,Algorithmic Toolbox,University of California San Diego,1912
4.835374149659864,An Introduction to American Law,University of Pennsylvania,735
4.5539617486338795,Business Metrics for Data-Driven Companies,Duke University,1464
3.71267252195734,Mastering Data Analysis in Excel,Duke University,797
4.808764940239044,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,251
4.8075,Animal Behaviour and Welfare,The University of Edinburgh,800
4.1891891891891895,Antibiotic Stewardship,Stanford University,37
4.851948051948052,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,385
4.509466437177281,Applied Data Science Capstone,IBM,581
4.919417475728156,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,3090
4.205154639175258,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,970
4.852941176470588,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,102
4.793478260869565,Arts and Heritage Management,Università Bocconi,184
4.883544303797469,Astronomy: Exploring Time and Space,University of Arizona,790
3.2857142857142856,Natural Language Processing with Attention Models,DeepLearning.AI,21
4.905096660808436,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,569
4.634854771784233,Autism Spectrum Disorder,"University of California, Davis",482
4.728971962616822,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,321
4.672897196261682,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,107
4.162698412698413,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,252
4.680155210643015,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,1804
4.413344887348353,Getting Started with AWS Machine Learning,Amazon Web Services,1154
4.589435774309724,Basic Statistics,University of Amsterdam,833
4.255813953488372,Building Batch Data Pipelines on GCP,Google Cloud,129
4.4484375,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",640
4.7994296577946765,Digital Transformation,BCG,1052
4.762755102040816,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,392
4.672413793103448,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,58
3.484126984126984,"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,126
4.567393458870169,Introduction to Big Data,University of California San Diego,2018
4.786096256684492,Big History: Connecting Knowledge,Macquarie University,374
4.70042194092827,Biohacking Your Brain's Health,Emory University,237
4.061889250814332,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,307
4.503150315031503,Blockchain Basics,University at Buffalo,1111
