titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
How to Learn Online,124980.0,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,2,49.0
Programming for Everybody (Getting Started with Python),293864.0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,7,49.0
CS50's Introduction to Computer Science,2442271.0,Self-paced on your time,Harvard University,Introductory,Computer Science,English,12,90.0
The Analytics Edge,129555.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,English,13,199.0
Marketing Analytics: Marketing Measurement Strategy,81140.0,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,4,249.0
Introduction to Project Management,301793.0,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,6,199.0
Leading High-Performing Teams,32847.0,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,10,5.0
The Foundations of Happiness at Work,67073.0,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,4,199.0
"Managing Study, Stress and Mental Health at University",23061.0,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,2,49.0
Six Sigma: Define and Measure,92411.0,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,8,99.0
Fat Chance: Probability from the Ground Up,66835.0,Self-paced on your time,Harvard University,Introductory,Math,English,7,49.0
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711.0,Self-paced on your time,National Research Nuclear University,Introductory,Communication,English,5,49.0
Bitcoin and Cryptocurrencies,83398.0,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,6,99.0
English Grammar and Style,,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,8,99.0
Ethics in Action,6366.0,Self-paced on your time,SDG Academy,Intermediate,Ethics,English,10,49.0
Introduction to FinTech,72767.0,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,6,199.0
Data Science: R Basics,528782.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Python Basics for Data Science,228809.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,5,39.0
The Science of Beer,39085.0,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,English,6,49.0
Strategic Social Media Marketing,103640.0,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,English,6,399.0
CS50's Introduction to Artificial Intelligence with Python,258006.0,Self-paced on your time,Harvard University,Introductory,Computer Science,English,7,199.0
CS50's Introduction to Game Development,346748.0,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,12,149.0
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,8,99.0
CS50's Web Programming with Python and JavaScript,698950.0,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,12,90.0
Contract Law: From Trust to Promise to Contract,414181.0,Self-paced on your time,Harvard University,Intermediate,Business & Management,English,8,125.0
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167.0,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,5,99.0
Justice,392588.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,12,99.0
Data Science: Machine Learning,276209.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Child Protection: Children's Rights in Theory and Practice,212453.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,16,99.0
IELTS Academic Test Preparation,1103777.0,Self-paced on your time,The University of Queensland,Introductory,Communication,English,8,99.0
The Architectural Imagination,406181.0,Self-paced on your time,Harvard University,Introductory,Architecture,English,10,99.0
TOEFL® Test Preparation: The Insider’s Guide,1022489.0,Self-paced on your time,Educational Testing Service,Introductory,Communication,English,6,49.0
Principles of Biochemistry,257600.0,Self-paced on your time,Harvard University,Intermediate,Medicine,English,15,199.0
Using Python for Research,262183.0,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,12,99.0
Hinduism Through Its Scriptures,140782.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Basic Spanish 1: Getting Started,400169.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,English,7,40.0
The Health Effects of Climate Change,110024.0,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,7,99.0
Inglés básico: conversacional y networking,79671.0,Self-paced on your time,Universidades Anáhuac,Introductory,Business & Management,Español,4,49.0
Statistics and R,314586.0,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,4,249.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011.0,Self-paced on your time,Harvard University,Introductory,Chemistry,English,16,199.0
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870.0,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,8,99.0
"PredictionX: Omens, Oracles & Prophecies",91566.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,1,25.0
Excel: Fundamentos y herramientas,284279.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,8,50.0
Lessons from Ebola: Preventing the Next Pandemic,91983.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4,49.0
Improving Global Health: Focusing on Quality and Safety,127353.0,Self-paced on your time,Harvard University,Intermediate,Social Sciences,English,10,99.0
CS50 for Lawyers,87336.0,Self-paced on your time,Harvard University,Introductory,Computer Science,English,10,99.0
Data Science: Visualization,171258.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Christianity Through Its Scriptures,125051.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
The Science of Happiness,475614.0,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,English,11,169.0
Leaders of Learning,231131.0,Self-paced on your time,Harvard University,Introductory,Communication,English,10,99.0
Exercising Leadership: Foundational Principles,57814.0,Self-paced on your time,Harvard University,Introductory,Business & Management,English,4,99.0
Data Science: Probability,135859.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410.0,Self-paced on your time,Harvard University,Intermediate,Education & Teacher Training,English,10,70.0
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082.0,Self-paced on your time,Harvard University,Introductory,Medicine,English,8,99.0
Introduction to Family Engagement in Education,105146.0,Self-paced on your time,Harvard University,Introductory,Education & Teacher Training,English,6,70.0
Italian Language and Culture: Beginner (2019-2020),182462.0,Self-paced on your time,Wellesley College,Introductory,Language,Italiano,12,49.0
Steps in Japanese for Beginners1 Part1,53630.0,Self-paced on your time,Waseda University,Introductory,Language,English,5,49.0
How to Write an Essay,306787.0,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,5,49.0
Energy Within Environmental Constraints,95324.0,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,10,99.0
Introduction to Probability,97291.0,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,10,99.0
AnatomyX: Musculoskeletal Cases,102075.0,Self-paced on your time,Harvard University,Intermediate,Medicine,English,7,99.0
Data Science: Inference and Modeling,88256.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Strengthening Community Health Worker Programs,58626.0,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,6,79.0
Buddhism Through Its Scriptures,182295.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Introduction to Linux,642088.0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,14,199.0
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221.0,Self-paced on your time,Harvard University,Introductory,Medicine,English,10,99.0
Shakespeare's Life and Work,48938.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,49.0
Marketing Digital: Content & Community Manager,112623.0,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,5,49.0
Accounting and Finance,88243.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,11,150.0
Computing in Python I: Fundamentals and Procedural Programming,141966.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,5,99.0
"Nutrition, Exercise and Sports",51679.0,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,6,49.0
Becoming an Entrepreneur,104760.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,6,69.0
"Religion, Conflict and Peace",74060.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,8,49.0
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,10,49.0
Academic and Business Writing,322701.0,Self-paced on your time,"University of California, Berkeley",Introductory,Communication,English,6,49.0
Data Science: Capstone,62803.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,2,99.0
Basics of Computing and Programming,37045.0,Self-paced on your time,New York University,Introductory,Computer Science,English,9,200.0
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874.0,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,6,99.0
Successful Negotiation: Essential Strategies and Skills,31369.0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,7,49.0
Data Science: Linear Regression,75310.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
HTML5 and CSS Fundamentals,335895.0,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,6,199.0
Data Science: Productivity Tools,66683.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
Introduction to Corporate Finance,98093.0,Self-paced on your time,Columbia University,Introductory,Business & Management,English,4,225.0
Computer Science 101,39540.0,Self-paced on your time,Stanford University,Introductory,Computer Science,English,6,149.0
Data Science: Wrangling,64584.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8,49.0
A Hands-on Introduction to Engineering Simulations,187138.0,Self-paced on your time,Cornell University,Intermediate,Engineering,English,6,199.0
AI for Everyone: Master the Basics,49340.0,Self-paced on your time,IBM,Introductory,Computer Science,English,4,49.0
The Psychology of Criminal Justice,110086.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,8,99.0
Machine Learning with Python: A Practical Introduction,80161.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,5,39.0
Analyzing Data with Python,94079.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,5,39.0
Excel: gestión de datos,111785.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,6,75.0
Probability - The Science of Uncertainty and Data,205615.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Data Analysis & Statistics,English,16,300.0
"Fundamentals of Neuroscience, Part 3: The Brain",85034.0,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,8,99.0
Sikhism Through Its Scriptures,44125.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Upper-Intermediate English: Business and Modern Life,77991.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,4,50.0
Introduction to Probability,97291.0,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,10,99.0
Religious Literacy: Traditions and Scriptures,96972.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Programación para todos (empezando con Python),81004.0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,7,49.0
Analyzing and Visualizing Data with Power BI,28879.0,Self-paced on your time,Davidson College,Introductory,Data Analysis & Statistics,English,4,99.0
High-Dimensional Data Analysis,78443.0,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,4,149.0
Introduction To Music Theory,67029.0,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,6,49.0
Human Anatomy,126850.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Medicine,English,8,139.0
"CitiesX: The Past, Present and Future of Urban Life",76874.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,11,99.0
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208.0,Self-paced on your time,Harvard University,Introductory,Philosophy & Ethics,English,13,99.0
Entrepreneurship 101: Who is your customer?,41838.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,10,49.0
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4,49.0
Machine Learning with Python: from Linear Models to Deep Learning,85561.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Computer Science,English,15,300.0
Introduction to Data Science,43766.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,6,39.0
Circuits and Electronics 1: Basic Circuit Analysis,52639.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Electronics,English,5,169.0
Introduction to Investments,91788.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,5,50.0
Improving Your Business Through a Culture of Health,54136.0,Self-paced on your time,Harvard University,Introductory,Business & Management,English,9,99.0
Introduction to Linear Models and Matrix Algebra,92004.0,Self-paced on your time,Harvard University,Intermediate,Math,English,4,149.0
DO Your Venture: Entrepreneurship For Everyone,61989.0,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,6,150.0
El valor de la creatividad y la innovación: La Economía Naranja,23728.0,Self-paced on your time,Inter-American Development Bank,Introductory,Art & Culture,Español,8,25.0
Humanitarian Response to Conflict and Disaster,119891.0,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,5,99.0
"Women Making History: Ten Objects, Many Stories",38939.0,Self-paced on your time,Harvard University,Introductory,History,English,8,99.0
Masterpieces of World Literature,88789.0,Self-paced on your time,Harvard University,Introductory,Literature,English,12,149.0
SQL for Data Science,39184.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,4,39.0
El cerebro y las emociones en el lenguaje,41279.0,Self-paced on your time,Universidad del Rosario,Introductory,Communication,Español,5,49.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673.0,Self-paced on your time,Harvard University,Introductory,Physics,English,16,169.0
Python: aprender a programar,21613.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,8,49.0
Marketing Analytics: Competitive Analysis and Market Segmentation,70682.0,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,4,249.0
MalariaX: Defeating Malaria from the Genes to the Globe,37598.0,Self-paced on your time,Harvard University,Intermediate,Biology & Life Sciences,English,8,49.0
Entrepreneurship in Emerging Economies,113602.0,Self-paced on your time,Harvard University,Introductory,Business & Management,English,6,125.0
JavaScript Introduction,160112.0,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,5,199.0
People Management,113592.0,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,6,150.0
Using Email for Networking in English,57208.0,Self-paced on your time,University of Washington,Introductory,Language,English,4,149.0
Databases: Relational Databases and SQL,20502.0,Self-paced on your time,Stanford University,Introductory,Computer Science,English,2,50.0
C Programming: Getting Started,104108.0,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7,49.0
Supply Chain Analytics,145049.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Business & Management,English,15,199.0
Programming for the Web with JavaScript,91406.0,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,4,149.0
Introduction to Digital Humanities,37501.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,7,99.0
Upper-Intermediate English: Business and Industry,103704.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,4,50.0
EmSAT English Preparation - Level 1,29101.0,Self-paced on your time,United Arab Emirates University,Introductory,Language,English,6,49.0
Python for Data Science,266978.0,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,10,350.0
Empathy and Emotional Intelligence at Work,45867.0,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,4,199.0
Design Thinking and Creativity for Innovation,47549.0,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,10,5.0
China and Communism,69104.0,Self-paced on your time,Harvard University,Introductory,History,English,15,139.0
Mandarin Chinese Level 1,56040.0,Self-paced on your time,MandarinX,Introductory,Language,English,6,149.0
Introduction to Biology - The Secret of Life,147512.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Biology & Life Sciences,English,16,150.0
Photoshop: una herramienta para presentaciones innovadoras,22969.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Art & Culture,Español,5,19.0
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949.0,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,9,99.0
生活英语听说 | Conversational English Skills,301585.0,Self-paced on your time,Tsinghua University,Introductory,Communication,English,10,49.0
Shakespeare’s Othello: The Moor,31868.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,49.0
Basic Spanish 2: One Step Further,67687.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,4,50.0
Financial Market Analysis,37452.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,7,25.0
CS50's Computer Science for Business Professionals,73208.0,Self-paced on your time,Harvard University,Introductory,Computer Science,English,6,90.0
Gobierno Digital,18883.0,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,8,25.0
Upper-Intermediate English: Business and Globalization,58532.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,4,50.0
The Opioid Crisis in America,54805.0,Self-paced on your time,Harvard University,Introductory,Medicine,English,10,99.0
Gestión de Proyectos de Desarrollo,306286.0,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,10,49.0
Statistical Learning,27968.0,Self-paced on your time,Stanford University,Introductory,Data Analysis & Statistics,English,9,50.0
Introduction to Social Psychology,79365.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,7,99.0
Artificial Intelligence (AI),265104.0,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,12,249.0
American Government: Constitutional Foundations,35504.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4,49.0
Introducción a la inversión bursátil,64261.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Economics & Finance,Español,2,50.0
Japanese Books: From Manuscript to Print,17581.0,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,9,100.0
Foundations of Modern Finance  I,24108.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Economics & Finance,English,12,450.0
Operations Management,126093.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,7,150.0
Marketing Management,80010.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,9,150.0
Marketing enfocado en la estrategia de servicios,24618.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,6,119.0
Introduction to Marketing,169126.0,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,6,150.0
Programming Basics,215059.0,Self-paced on your time,IITBombay,Introductory,Computer Science,English,9,149.0
Probability and Statistics in Data Science using Python,106286.0,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,10,350.0
HTML5 Coding Essentials and Best Practices,241287.0,Self-paced on your time,The World Wide Web Consortium (W3C),Intermediate,Computer Science,English,6,199.0
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,3,49.0
