titulo,es_pago,precio_usd,inscriptos,nivel,duracion_hs,fecha_publicacion,categoria,ventas_totales,año_publicacion
Ultimate Investment Banking Course,True,200,2147,All Levels,1.5,2017-01-18,Business Finance,429400,2017
Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,All Levels,39.0,2017-03-09,Business Finance,209400,2017
Financial Modeling for Business Analysts and Consultants,True,45,2174,Intermediate Level,2.5,2016-12-19,Business Finance,97830,2016
Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,All Levels,3.0,2017-05-30,Business Finance,232845,2017
How To Maximize Your Profits Trading Options,True,200,1276,Intermediate Level,2.0,2016-12-13,Business Finance,255200,2016
Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,All Levels,3.0,2014-05-02,Business Finance,1383150,2014
Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,Beginner Level,1.0,2016-02-21,Business Finance,100100,2016
"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,All Levels,2.5,2015-01-30,Business Finance,277115,2015
Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,Expert Level,2.5,2015-05-28,Business Finance,1008540,2015
The Only Investment Strategy You Need For Your Retirement,True,200,827,All Levels,1.0,2017-04-18,Business Finance,165400,2017
Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,All Levels,5.0,2015-09-11,Business Finance,856800,2015
Trading Options With Money Flow,True,200,1380,All Levels,1.0,2016-10-18,Business Finance,276000,2016
Financial Management Risk and Return For Securities,True,30,3607,All Levels,1.5,2016-02-03,Business Finance,108210,2016
Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,All Levels,2.0,2016-03-16,Business Finance,791895,2016
Python Algo Trading: Sentiment Trading with News,True,200,294,All Levels,7.0,2017-04-28,Business Finance,58800,2017
Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,Intermediate Level,1.5,2015-06-22,Business Finance,170700,2015
Basic Technical Analysis: Learn the structure of the market,True,20,4919,Beginner Level,1.5,2016-01-08,Business Finance,98380,2016
The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,All Levels,4.0,2015-08-10,Business Finance,533200,2015
7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,All Levels,1.5,2015-09-21,Business Finance,267700,2015
Financial Statements Made Easy,True,95,8095,Beginner Level,0.5833333333333334,2013-06-09,Business Finance,769025,2013
Winning Forex Trading with Live Forex Trading Examples,True,200,809,All Levels,2.0,2017-06-06,Business Finance,161800,2017
Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,All Levels,4.0,2016-05-02,Business Finance,459000,2016
Create A Business From Home Trading Stocks Today In 2017,True,75,10149,All Levels,2.0,2015-05-26,Business Finance,761175,2015
Introduction to Accounting : Mastering Financial Statements,True,50,1916,Beginner Level,1.0,2016-12-05,Business Finance,95800,2016
The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,All Levels,2.0,2016-05-30,Business Finance,112815,2016
Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,All Levels,5.0,2015-01-31,Business Finance,867900,2015
Investing 101: The Complete Online Investing Course,True,200,5334,All Levels,4.5,2014-11-28,Business Finance,1066800,2014
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,Intermediate Level,2.0,2015-04-12,Business Finance,700875,2015
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,All Levels,4.5,2016-04-26,Business Finance,431550,2016
Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,Beginner Level,3.0,2017-06-27,Business Finance,143640,2017
Python Algo Stock Trading: Automate Your Trading!,True,95,1165,Beginner Level,2.5,2017-05-28,Business Finance,110675,2017
